,address_id,place_type_id,room_type_id,number_of_persons_id,number_of_offers,average_rating,max_rating,min_rating
0,60,3,1427,1,82,9.0609756098,9.9,8.3
1,60,3,120,1,71,9.0704225352,9.8,8.2
2,60,3,309,1,41,9.1512195122,9.9,8.3
3,60,3,607,1,38,9.2526315789,10.0,8.3
4,60,3,720,1,27,9.1888888889,9.9,8.0
5,4,12,1150,1,20,9.65,10.0,9.2
6,60,18,120,1,19,9.1368421053,9.8,8.5
7,60,3,394,2,19,9.2473684211,9.9,8.8
8,60,3,692,1,17,9.2470588235,10.0,8.4
9,4,12,1150,2,16,9.6875,10.0,9.2
10,60,18,1427,1,15,9.3266666667,9.8,8.7
11,60,3,720,2,15,9.1933333333,9.6,8.7
12,60,3,394,1,15,9.06,9.9,8.3
13,4,12,1150,3,14,9.6714285714,10.0,9.2
14,60,3,430,3,14,9.2928571429,9.9,8.8
15,142,3,309,1,12,9.0916666667,9.5,8.4
16,60,3,1380,1,12,9.0083333333,9.4,8.4
17,60,18,607,1,11,9.3454545455,9.6,9.1
18,60,18,956,1,11,9.3090909091,9.7,8.6
19,4,12,1150,4,11,9.6090909091,10.0,9.3
20,60,3,796,1,11,9.0090909091,9.4,8.6
21,60,3,1659,1,11,8.9090909091,9.5,8.0
22,18,3,1427,1,11,8.8090909091,9.3,8.1
23,60,3,612,2,10,9.11,9.6,8.6
24,60,3,928,2,10,8.94,9.6,8.3
25,60,7,309,1,9,9.0,9.4,8.1
26,18,3,120,1,9,8.7111111111,9.0,8.1
27,4,12,1150,5,8,9.6875,10.0,9.4
28,60,3,204,0,8,9.05,9.9,8.7
29,60,3,1015,2,8,8.6,9.2,8.2
30,60,3,938,2,8,8.975,9.6,8.4
31,60,3,737,1,8,8.875,9.3,8.3
32,29,3,181,1,8,9.3625,9.4,9.3
33,4,3,309,1,8,9.05,9.7,8.6
34,142,7,928,2,7,8.4857142857,8.5,8.4
35,127,7,394,1,7,9.2,9.2,9.2
36,60,18,692,1,7,9.4428571429,9.6,9.1
